{'.id': '*75B52C', 'type': 'A', 'data': '202.6.211.33', 'name': 'vpn.tarumanagara.com', 'ttl': '1h', 'static': True, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*75B538', 'type': 'TXT', 'data': '"miro-verification=2494d255c4c50b1e521650a0659cbf3fa08b0072"', 'name': 'apple.com', 'ttl': '25s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*75B539', 'type': 'TXT', 'data': '"webexdomainverification.8C462=b728ec3f-dfc9-42f9-92cb-9ba8853cbee8"', 'name': 'apple.com', 'ttl': '25s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*75B53A', 'type': 'TXT', 'data': '"google-site-verification=8M6XjQCzydT62jk8HY3VXPAG-nKDllTRV-JpA3-Ktyw"', 'name': 'apple.com', 'ttl': '25s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*75B53B', 'type': 'TXT', 'data': '"apple-domain-verification=X5Jt76bn3Dnmgzjj"', 'name': 'apple.com', 'ttl': '25s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*75B53C', 'type': 'TXT', 'data': '"cisco-ci-domain-verification=6f3bfb849796a518061f8e8c4356f687a138502d86db742791685059176547dd"', 'name': 'apple.com', 'ttl': '25s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*75B53D', 'type': 'TXT', 'data': '"json:eyJ3aHkiOiJUaGlzIGlzIHRvIHRydW5jYXRlIFVEUCByZXNwb25zZXMgZm9yIFRYVCBxdWVyaWVzIHRvIGFwcGxlLmNvbSIsInBhZGRpbmciOiJxdWFoMGVpamFhNGVlajh0aWVkYWlnaG9jZWljaGFlOGVUb3ppZTVmdTVhaFRoMldlaU00aWsyaHVxdThpZXBoaWVxdW9oc2hlaXBhZWdoOUthZWw3b2NoaWVuZ2llem9lc2g1In0K"', 'name': 'apple.com', 'ttl': '25s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*75B53E', 'type': 'TXT', 'data': '"Dynatrace-site-verification=7d881a7c-c13f-4146-9d27-2731459e2509__iqls0105tagglcsaul0m16ibrf"', 'name': 'apple.com', 'ttl': '25s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*75B53F', 'type': 'TXT', 'data': '"google-site-verification=L5kkMdiFI8npvb6KlHui84fJaCw5G64DWhaDRIAT4_c"', 'name': 'apple.com', 'ttl': '25s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*76F585', 'type': 'NS', 'data': 'ns1.neoip.com', 'name': 'sl', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*76F586', 'type': 'NS', 'data': 'ns2.neoip.com', 'name': 'sl', 'ttl': '6s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77022A', 'type': 'TXT', 'data': '"stripe-verification=71d4571aac7216050c8bebaadf0538662d4e5a950b7c4cfd8e69b12a54835df1"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77022B', 'type': 'TXT', 'data': '"google-site-verification=Ey-v6Be7J2lbOSMR7ID-gA6wGZXKxYMuTVkR4LFueow"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77022C', 'type': 'TXT', 'data': '"stripe-verification=27a7887beca7c109d6beeb7b154db1878cdb699d0d93e48a731ec08c694a6290"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77022D', 'type': 'TXT', 'data': '"miro-verification=6bd145c8ff96aabe81ebbc9298522ad4c41e08f6"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77022E', 'type': 'TXT', 'data': '"stripe-verification=580cea36ec46ac0adcc200221811acaca1db456b0fb91bd7cc129d8f3459b9b8"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77022F', 'type': 'TXT', 'data': '"SFMC-NEVZE-pd0X15BlxXI8i2N1C977acCSS6iXsjznDF"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770230', 'type': 'TXT', 'data': '"knowbe4-site-verification=d26e46454d5f1bfcd1bd89f8ccf0d578"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770231', 'type': 'TXT', 'data': '"SFMC-VGtbZqMeaLnLX_ep8blmghawDtsZvdGp8ohWo4J5"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770232', 'type': 'TXT', 'data': '"onetrust-domain-verification=aa11449cf62348e78d229049ddf67df2"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770233', 'type': 'TXT', 'data': '"docusign=40001689-5955-4691-bdc0-0c95f792b589"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770234', 'type': 'TXT', 'data': '"atlassian-domain-verification=ZlsTGOEPNmWFXzzhEayLG9WDmjOwsr1H36NdpelFLTF/kGCLr/a5rCCOqqGZRjWt"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770235', 'type': 'TXT', 'data': '"zoom-domain-verification=2803a8e0-7054-4e81-a7d7-fd55692d5e3b"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770236', 'type': 'TXT', 'data': '"d25ka488dfqyj6.cloudfront.net"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770237', 'type': 'TXT', 'data': '"google-site-verification=z98_8Laz1Jr_VZwpAMfx5IXbFy4PCx66ygZoqCeLyyc"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770238', 'type': 'TXT', 'data': '"stripe-verification=e3129af3aea23f39d9869982084895f81fcb2a931daec6fac7052df798612d6f"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770239', 'type': 'TXT', 'data': '"pardot548382=251a035bf1d916039f96c33d2457506ec1936c8c8331956b270cb6f51e4a1a6a"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77023A', 'type': 'TXT', 'data': '"google-site-verification=U5hiOly8JOwhyRXMmxgWaDHGMem7kgQud1Iis8gshyA"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77023B', 'type': 'TXT', 'data': '"google-site-verification=Kj7SMNgp41m5YiH7KEawowCRQFilQrRZ8D_TztiEn2g"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77023C', 'type': 'TXT', 'data': '"SFMC--FelJdVfs1qWNvc7OtWJs6MZcusOPOyWM_eCsysa"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77023D', 'type': 'TXT', 'data': '"docusign=1d2cd2cd-53da-4c43-b487-46a5d4745f60"', 'name': 'atlassian.com', 'ttl': '7s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77025D', 'type': 'TXT', 'data': '"atlassian-domain-verification=2ldosmg0o2Mhpyok1OISaSGygWU9zk6fLLWdoczXtHap9luhaHA/pwEaj2Tk6ROK"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77025E', 'type': 'TXT', 'data': '"pendo-domain-verification=c9d2fba1-7d94-4cf9-a6fb-310883c8bb15"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77025F', 'type': 'TXT', 'data': '"duo_sso_verification=IYdVUIrb2L95JVejSXV3hfsJVDZolQKKOPBztlD6TIgfCRSKeMuf8WgbQuFLD4aL"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770260', 'type': 'TXT', 'data': '"atlassian-domain-verification=672RcADvt8BPqsb9gCN2ZC5DoTAhUT8abC1blYKQxi/MHMaGoA/BuvjFMaWRtgd7"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770261', 'type': 'TXT', 'data': '"duo_sso_verification=pG21Oj5OPCxRPsWXsfbauWT9oua82cKtYUPAmsQvovKNq3xqWEcsEMEAhtXy8AFr"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770262', 'type': 'TXT', 'data': '"apple-domain-verification=qOInipPgso3W8cmK"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770263', 'type': 'TXT', 'data': '"mZvHszGlmDhvPOUKL+6JMiw/VtckyOMKjcw1PLcjYowxM2PVLX2xG0ZSgdHRm8HXfaaGR2pMvhIrBX1tX3aKRQ=="', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770264', 'type': 'TXT', 'data': '"facebook-domain-verification=1zoxo8z7t013gpruxmhc8dkerq47vh"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770265', 'type': 'TXT', 'data': '"adobe-aem-verification=www-idev-cloud.cisco.com/24859/366204/1b990ef7-ff88-4938-bdd9-8458cc152f57"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770266', 'type': 'TXT', 'data': '"asv=ac90e11808e87cfbf8768e69819b1aca"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770267', 'type': 'TXT', 'data': '"wiz-domain-verification=af241e6396696eedf1b361891435f6b21bdebb5621941d99279298c076b5bf5f"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770268', 'type': 'TXT', 'data': '"stripe-verification=8e54fae7680b23aad6d5e3417be73a043f7e45cd2767272dbe0c9c6eac903291"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770269', 'type': 'TXT', 'data': '"duo_sso_verification=AxenLdoqIXzjl2RJzE1BlOfkawDbDFlnbyvjAt8vcjKHBkvYwEMySDRk5QmBd66v"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77026A', 'type': 'TXT', 'data': '"amazonses:mX+ylQj+fJAfh9pr03yIR7YvjKZ1bOo5ABegqM/5pvI="', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77026B', 'type': 'TXT', 'data': '"docker-verification=4c56633a-274e-4858-88a2-2aeceffcfd66"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77026C', 'type': 'TXT', 'data': '"atlassian-domain-verification=UwP1ncfiphlFs+wRx8wIBSXDScwNL7Jrw7tq2rnYz3+9T5+Md9eTDRgNPCikxtOx"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77026D', 'type': 'TXT', 'data': '"adobe-aem-verification=www-devint-cloud.cisco.com/24859/366173/9418f2a2-ef45-4788-9de9-91c7d19038b9"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77026E', 'type': 'TXT', 'data': '"atlassian-domain-verification=Gt2demeKDLmtNc9kPZhaAHFA37DEIcmFGUd6LARvB4yjLG70s3WZhaJJ15y499sb"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*77026F', 'type': 'TXT', 'data': '"identrust_validate=ZMG4IyVxNwmt3vKpPoFmxSuWW+4fMc/M4kCCnBaPUMYv"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
{'.id': '*770270', 'type': 'TXT', 'data': '"notion-domain-verification=7sz4S3LLtNIHZpYsgTTgOcRLlLrJ5JrmIgVcdRtGi1X"', 'name': 'cisco.com', 'ttl': '20s', 'static': False, 'timestamp': '2023-11-21 14:13:50 WIB'}
