Service Name,Port Number,Transport Protocol,Description,Assignee,Contact,Registration Date,Modification Date,Reference,Service Code,Unauthorized Use Reported,Assignment Notes
xns-time,52,tcp,XNS Time Protocol,[Susie_Armstrong],[Susie_Armstrong],,,,,,
domain,53,tcp,Domain Name Server,[Paul_Mockapetris],[Paul_Mockapetris],,,,,,
xns-ch,54,tcp,XNS Clearinghouse,[Susie_Armstrong],[Susie_Armstrong],,,,,,
isi-gl,55,tcp,ISI Graphics Language,,,,,,,,
xns-auth,56,tcp,XNS Authentication,[Susie_Armstrong],[Susie_Armstrong],,,,,,
,57,tcp,any private terminal access,[Jon_Postel],[Jon_Postel],,,,,,
xns-mail,58,tcp,XNS Mail,[Susie_Armstrong],[Susie_Armstrong],,,,,,
,59,tcp,any private file service,[Jon_Postel],[Jon_Postel],,,,,,
,60,tcp,Unassigned,,,,,,,,
,61,tcp,Reserved,,,,2017-05-18,,,,This entry has been removed on 2017-05-18.
acas,62,tcp,ACA Services,[E_Wald],[E_Wald],,,,,,
whoispp,63,tcp,"whois++ IANA assigned this well-formed service name as a replacement for ""whois++"".",[Rickard_Schoultz],[Rickard_Schoultz],,,,,,
covia,64,tcp,Communications Integrator (CI),[Dan_Smith],[Dan_Smith],,,,,,
tacacs-ds,65,tcp,TACACS-Database Service,[Kathy_Huber],[Kathy_Huber],,,,,,
sql-net,66,tcp,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net"".",[Jack_Haverty],[Jack_Haverty],,,,,,
bootps,67,tcp,Bootstrap Protocol Server,[Bill_Croft],[Bill_Croft],,,[RFC951],,,Defined TXT keys: None
bootpc,68,tcp,Bootstrap Protocol Client,[Bill_Croft],[Bill_Croft],,,,,,
tftp,69,tcp,Trivial File Transfer,[David_Clark],[David_Clark],,,,,,
gopher,70,tcp,Gopher,[Mark_McCahill],[Mark_McCahill],,,,,,
netrjs-1,71,tcp,Remote Job Service,,,,,,,,
netrjs-2,72,tcp,Remote Job Service,,,,,,,,
netrjs-3,73,tcp,Remote Job Service,,,,,,,,
netrjs-4,74,tcp,Remote Job Service,[Bob_Braden],[Bob_Braden],,,,,,
,75,tcp,any private dial out service,[Jon_Postel],[Jon_Postel],,,,,,
deos,76,tcp,Distributed External Object Store,[Robert_Ullmann],[Robert_Ullmann],,,,,,
,77,tcp,any private RJE service,[Jon_Postel],[Jon_Postel],,,,,,
vettcp,78,tcp,vettcp,[Christopher_Leong],[Christopher_Leong],,,,,,
finger,79,tcp,Finger,[David_Zimmerman],[David_Zimmerman],,,,,Unauthorized use by some mail users (see [RFC4146] for details),
http,80,tcp,World Wide Web HTTP,[IESG],[IETF_Chair],,2021-10-01,[RFC9110],,,Defined TXT keys: u=<username> p=<password> path=<path to document>
,81,,Unassigned,,,,2007-09-06,,,,
xfer,82,tcp,XFER Utility,[Thomas_M_Smith],[Thomas_M_Smith],,,,,,
mit-ml-dev,83,tcp,MIT ML Device,[David_Reed],[David_Reed],,,,,,
ctf,84,tcp,Common Trace Facility,[Hugh_Thomas],[Hugh_Thomas],,,,,,
mit-ml-dev,85,tcp,MIT ML Device,[David_Reed],[David_Reed],,,,,,
mfcobol,86,tcp,Micro Focus Cobol,[Simon_Edwards],[Simon_Edwards],,,,,,
,87,tcp,any private terminal link,[Jon_Postel],[Jon_Postel],,,,,,
kerberos,88,tcp,Kerberos,[B_Clifford_Neuman],[B_Clifford_Neuman],,2022-02-18,[RFC4120],,,
su-mit-tg,89,tcp,SU/MIT Telnet Gateway,[Mark_Crispin],[Mark_Crispin],,,,,,
dnsix,90,tcp,DNSIX Securit Attribute Token Map,[Charles_Watt],[Charles_Watt],,,,,PORT 90 also being used unofficially by Pointcast,
mit-dov,91,tcp,MIT Dover Spooler,[Eliot_Moss],[Eliot_Moss],,,,,,
npp,92,tcp,Network Printing Protocol,[Louis_Mamakos],[Louis_Mamakos],,,,,,
dcp,93,tcp,Device Control Protocol,[Daniel_Tappan],[Daniel_Tappan],,,,,,
objcall,94,tcp,Tivoli Object Dispatcher,[Tom_Bereiter],[Tom_Bereiter],,,,,,
supdup,95,tcp,SUPDUP,[Mark_Crispin],[Mark_Crispin],,,,,,
dixie,96,tcp,DIXIE Protocol Specification,[Tim_Howes],[Tim_Howes],,,,,,
swift-rvf,97,tcp,Swift Remote Virtural File Protocol,[Maurice_R_Turcotte],[Maurice_R_Turcotte],,,,,,
tacnews,98,tcp,TAC News,[Jon_Postel],[Jon_Postel],,,,,,
metagram,99,tcp,Metagram Relay,[Geoff_Goodfellow],[Geoff_Goodfellow],,,,,,
,100,,Unassigned,,,,2012-03-21,,,Known Unauthorized Use on 100,
hostname,101,tcp,NIC Host Name Server,[Jon_Postel],[Jon_Postel],,,,,,
iso-tsap,102,tcp,ISO-TSAP Class 0,[Marshall_Rose],[Marshall_Rose],,,,,,
gppitnp,103,tcp,Genesis Point-to-Point Trans Net,,,,,,,,
acr-nema,104,tcp,ACR-NEMA Digital Imag. & Comm. 300,[Patrick_McNamee],[Patrick_McNamee],,,,,,
cso,105,tcp,CCSO name server protocol,[Martin_Hamilton],[Martin_Hamilton],,,,,,
3com-tsmux,106,tcp,3COM-TSMUX,[Jeremy_Siegel],[Jeremy_Siegel],,,,,Known Unauthorized Use on 106,
rtelnet,107,tcp,Remote Telnet Service,[Jon_Postel],[Jon_Postel],,,,,,
snagas,108,tcp,SNA Gateway Access Server,[Kevin_Murphy],[Kevin_Murphy],,,,,,
pop2,109,tcp,Post Office Protocol - Version 2,[Joyce_K_Reynolds],[Joyce_K_Reynolds],,,,,,
pop3,110,tcp,Post Office Protocol - Version 3,[Marshall_Rose],[Marshall_Rose],,,,,,
sunrpc,111,tcp,SUN Remote Procedure Call,[Chuck_McManis],[Chuck_McManis],,,,,,
mcidas,112,tcp,McIDAS Data Transmission Protocol,[Glenn_Davis],[Glenn_Davis],,,,,,
ident,113,tcp,,,,,,,,,
,114,,unassigned,,,,,,,,Deprecated June 2004
sftp,115,tcp,Simple File Transfer Protocol,[Mark_Lottor],[Mark_Lottor],,,,,,
ansanotify,116,tcp,ANSA REX Notify,[Nicola_J_Howarth],[Nicola_J_Howarth],,,,,,
uucp-path,117,tcp,UUCP Path Service,,,,,,,,
sqlserv,118,tcp,SQL Services,[Larry_Barnes],[Larry_Barnes],,,,,,
nntp,119,tcp,Network News Transfer Protocol,[IESG],[IETF_Chair],,2018-07-06,[RFC3977],,,
cfdptkt,120,tcp,CFDPTKT,[John_Ioannidis],[John_Ioannidis],,,,,,
erpc,121,tcp,Encore Expedited Remote Pro.Call,[Jack_ONeil],[Jack_ONeil],,,,,,
smakynet,122,tcp,SMAKYNET,[Pierre_Arnaud],[Pierre_Arnaud],,,,,,
ntp,123,tcp,Network Time Protocol,[Dave_Mills],[Dave_Mills],,,[RFC5905],,,
ansatrader,124,tcp,ANSA REX Trader,[Nicola_J_Howarth],[Nicola_J_Howarth],,,,,,
locus-map,125,tcp,Locus PC-Interface Net Map Ser,[Eric_Peterson],[Eric_Peterson],,,,,,
nxedit,126,tcp,NXEdit,[Don_Payette],[Don_Payette],,,,,,"Port 126 Previously assigned to application below
unitary         126/tcp    Unisys Unitary Login
unitary         126/udp    Unisys Unitary Login
<feil&kronos.nisd.cam.unisys.com>
Port 126 Previously assigned to application above"
locus-con,127,tcp,Locus PC-Interface Conn Server,[Eric_Peterson],[Eric_Peterson],,,,,,
gss-xlicen,128,tcp,GSS X License Verification,[John_Light],[John_Light],,,,,,
pwdgen,129,tcp,Password Generator Protocol,[Frank_J_Wacho],[Frank_J_Wacho],,,,,,
cisco-fna,130,tcp,cisco FNATIVE,,,,,,,,
cisco-tna,131,tcp,cisco TNATIVE,,,,,,,,
cisco-sys,132,tcp,cisco SYSMAINT,,,,,,,,
statsrv,133,tcp,Statistics Service,[Dave_Mills_2],[Dave_Mills_2],,,,,,
ingres-net,134,tcp,INGRES-NET Service,[Mike_Berrow],[Mike_Berrow],,,,,,
epmap,135,tcp,DCE endpoint resolution,[Joe_Pato],[Joe_Pato],,,,,,
profile,136,tcp,PROFILE Naming System,[Larry_Peterson],[Larry_Peterson],,,,,,
netbios-ns,137,tcp,NETBIOS Name Service,,,,,,,,
netbios-dgm,138,tcp,NETBIOS Datagram Service,,,,,,,,
netbios-ssn,139,tcp,NETBIOS Session Service,[Jon_Postel],[Jon_Postel],,,,,,
emfis-data,140,tcp,EMFIS Data Service,,,,,,,,
emfis-cntl,141,tcp,EMFIS Control Service,[Gerd_Beling],[Gerd_Beling],,,,,,
bl-idm,142,tcp,Britton-Lee IDM,[Susie_Snitzer],[Susie_Snitzer],,,,,,
imap,143,tcp,Internet Message Access Protocol,[IESG],[IETF_Chair],,2021-02-22,[RFC3501][RFC9051],,,
uma,144,tcp,Universal Management Architecture,[Jay_Whitney],[Jay_Whitney],,,,,,
uaac,145,tcp,UAAC Protocol,[David_A_Gomberg],[David_A_Gomberg],,,,,,
iso-tp0,146,tcp,ISO-IP0,,,,,,,,
iso-ip,147,tcp,ISO-IP,[Marshall_Rose],[Marshall_Rose],,,,,,
jargon,148,tcp,Jargon,[Bill_Weinman],[Bill_Weinman],,,,,,
aed-512,149,tcp,AED 512 Emulation Service,[Albert_G_Broscius],[Albert_G_Broscius],,,,,,
sql-net,150,tcp,SQL-NET,[Martin_Picard],[Martin_Picard],,,,,,
hems,151,tcp,HEMS,,,,,,,,
bftp,152,tcp,Background File Transfer Program,[Annette_DeSchon],[Annette_DeSchon],,,,,,
sgmp,153,tcp,SGMP,[Marty_Schoffstahl],[Marty_Schoffstahl],,,,,,
netsc-prod,154,tcp,NETSC,,,,,,,,
netsc-dev,155,tcp,NETSC,[Sergio_Heker],[Sergio_Heker],,,,,,
sqlsrv,156,tcp,SQL Service,[Craig_Rogers],[Craig_Rogers],,,,,,
knet-cmp,157,tcp,KNET/VM Command/Message Protocol,[Gary_S_Malkin],[Gary_S_Malkin],,,,,,
pcmail-srv,158,tcp,PCMail Server,[Mark_L_Lambert],[Mark_L_Lambert],,,,,,
nss-routing,159,tcp,NSS-Routing,[Yakov_Rekhter],[Yakov_Rekhter],,,,,,
sgmp-traps,160,tcp,SGMP-TRAPS,[Marty_Schoffstahl],[Marty_Schoffstahl],,,,,,
snmp,161,tcp,SNMP,,,,,,,,
snmptrap,162,tcp,SNMPTRAP,[Marshall_Rose],[Marshall_Rose],,,,,,
cmip-man,163,tcp,CMIP/TCP Manager,,,,,,,,
cmip-agent,164,tcp,CMIP/TCP Agent,[Amatzia_Ben_Artzi],[Amatzia_Ben_Artzi],,,,,,
xns-courier,165,tcp,Xerox,[Susie_Armstrong_2],[Susie_Armstrong_2],,,,,,
s-net,166,tcp,Sirius Systems,[Brian_Lloyd],[Brian_Lloyd],,,,,,
namp,167,tcp,NAMP,[Marty_Schoffstahl],[Marty_Schoffstahl],,,,,,
rsvd,168,tcp,RSVD,[Alan_Sandell],[Alan_Sandell],,2008-05-01,,,,
send,169,tcp,SEND,[William_Oldwin],[William_Oldwin],,2019-04-22,,,,
print-srv,170,tcp,Network PostScript,[Brian_Reid],[Brian_Reid],,,,,,
multiplex,171,tcp,Network Innovations Multiplex,,,,,,,,
cl-1,172,tcp,"Network Innovations CL/1 IANA assigned this well-formed service name as a replacement for ""cl/1"".",[Kevin_DeVault],[Kevin_DeVault],,,,,,
xyplex-mux,173,tcp,Xyplex,[Bob_Stewart],[Bob_Stewart],,,,,,
mailq,174,tcp,MAILQ,[Rayan_Zachariassen],[Rayan_Zachariassen],,,,,,
vmnet,175,tcp,VMNET,[Christopher_Tengi],[Christopher_Tengi],,,,,,
genrad-mux,176,tcp,GENRAD-MUX,[Ron_Thornton],[Ron_Thornton],,,,,,
xdmcp,177,tcp,X Display Manager Control Protocol,[Robert_W_Scheifler],[Robert_W_Scheifler],,,,,,
nextstep,178,tcp,NextStep Window Server,[Leo_Hourvitz],[Leo_Hourvitz],,,,,,
bgp,179,tcp,Border Gateway Protocol,[Kirk_Lougheed],[Kirk_Lougheed],,,,,,
ris,180,tcp,Intergraph,[Dave_Buehmann],[Dave_Buehmann],,,,,,
unify,181,tcp,Unify,[Daegis_Inc],[Chris_Anderson],,2012-07-31,,,,
audit,182,tcp,Unisys Audit SITP,[Gil_Greenbaum],[Gil_Greenbaum],,,,,,
ocbinder,183,tcp,OCBinder,,,,,,,,
ocserver,184,tcp,OCServer,[Jerrilynn_Okamura],[Jerrilynn_Okamura],,,,,,
remote-kis,185,tcp,Remote-KIS,,,,,,,,
kis,186,tcp,KIS Protocol,[Ralph_Droms],[Ralph_Droms],,,,,,
aci,187,tcp,Application Communication Interface,[Rick_Carlos],[Rick_Carlos],,,,,,
mumps,188,tcp,Plus Five's MUMPS,[Hokey_Stenn],[Hokey_Stenn],,,,,,
qft,189,tcp,Queued File Transport,[Wayne_Schroeder],[Wayne_Schroeder],,,,,,
gacp,190,tcp,Gateway Access Control Protocol,[C_Philip_Wood],[C_Philip_Wood],,,,,,
prospero,191,tcp,Prospero Directory Service,[B_Clifford_Neuman],[B_Clifford_Neuman],,,,,,
osu-nms,192,tcp,OSU Network Monitoring System,[Doug_Karl],[Doug_Karl],,,,,,
srmp,193,tcp,Spider Remote Monitoring Protocol,[Ted_J_Socolofsky],[Ted_J_Socolofsky],,,,,,
irc,194,tcp,Internet Relay Chat Protocol,[Jarkko_Oikarinen],[Jarkko_Oikarinen],,,,,,
dn6-nlm-aud,195,tcp,DNSIX Network Level Module Audit,,,,,,,,
dn6-smm-red,196,tcp,DNSIX Session Mgt Module Audit Redir,[Lawrence_Lebahn],[Lawrence_Lebahn],,,,,,
dls,197,tcp,Directory Location Service,,,,,,,,
dls-mon,198,tcp,Directory Location Service Monitor,[Scott_Bellew],[Scott_Bellew],,,,,,
smux,199,tcp,SMUX,[Marshall_Rose],[Marshall_Rose],,,,,,
src,200,tcp,IBM System Resource Controller,[Gerald_McBrearty],[Gerald_McBrearty],,,,,,
at-rtmp,201,tcp,AppleTalk Routing Maintenance,,,,,,,,
at-nbp,202,tcp,AppleTalk Name Binding,,,,,,,,
at-3,203,tcp,AppleTalk Unused,,,,,,,,
at-echo,204,tcp,AppleTalk Echo,,,,,,,,
at-5,205,tcp,AppleTalk Unused,,,,,,,,
at-zis,206,tcp,AppleTalk Zone Information,,,,,,,,
at-7,207,tcp,AppleTalk Unused,,,,,,,,
at-8,208,tcp,AppleTalk Unused,[Rob_Chandhok],[Rob_Chandhok],,,,,,
qmtp,209,tcp,The Quick Mail Transfer Protocol,[D_J_Bernstein],[D_J_Bernstein],,2018-04-05,,,,
z39-50,210,tcp,"ANSI Z39.50 IANA assigned this well-formed service name as a replacement for ""z39.50"".",[Mark_H_Needleman],[Mark_H_Needleman],,,,,,
914c-g,211,tcp,"Texas Instruments 914C/G Terminal IANA assigned this well-formed service name as a replacement for ""914c/g"".",[Bill_Harrell],[Bill_Harrell],,,,,,
anet,212,tcp,ATEXSSTR,[Jim_Taylor],[Jim_Taylor],,,,,,
ipx,213,tcp,IPX,[Don_Provan],[Don_Provan],,,,,,
vmpwscs,214,tcp,VM PWSCS,[Dan_Shia],[Dan_Shia],,,,,,
softpc,215,tcp,Insignia Solutions,[Martyn_Thomas],[Martyn_Thomas],,,,,,
CAIlic,216,tcp,Computer Associates Int'l License Server,[Chuck_Spitz],[Chuck_Spitz],,,,,,
dbase,217,tcp,dBASE Unix,[Don_Gibson],[Don_Gibson],,,,,,
mpp,218,tcp,Netix Message Posting Protocol,[Shannon_Yeh],[Shannon_Yeh],,,,,,
uarps,219,tcp,Unisys ARPs,[Ashok_Marwaha],[Ashok_Marwaha],,,,,,
imap3,220,tcp,Interactive Mail Access Protocol v3,[James_Rice],[James_Rice],,,,,,
fln-spx,221,tcp,Berkeley rlogind with SPX auth,,,,,,,,
rsh-spx,222,tcp,Berkeley rshd with SPX auth,,,,,,,,
cdc,223,tcp,Certificate Distribution Center,[Kannan_Alagappan],[Kannan_Alagappan],,,,,,
masqdialer,224,tcp,masqdialer,[Charles_Wright],[Charles_Wright],,,,,,"Possible Conflict of Port 222 with ""Masqdialer"""
,225-241,,Reserved,[Jon_Postel],[Jon_Postel],,,,,,
direct,242,tcp,Direct,[Herb_Sutter],[Paul_Horton],,,,,,
sur-meas,243,tcp,Survey Measurement,[Dave_Clark],[Dave_Clark],,,,,,
inbusiness,244,tcp,inbusiness,[Derrick_Hisatake],[Derrick_Hisatake],,,,,,
link,245,tcp,LINK,,,,,,,,
dsp3270,246,tcp,Display Systems Protocol,[Weldon_J_Showalter],[Weldon_J_Showalter],,,,,,
subntbcst-tftp,247,tcp,"SUBNTBCST_TFTP IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp"".",[John_Fake],[John_Fake],,,,,,
bhfhs,248,tcp,bhfhs,[John_Kelly],[John_Kelly],,,,,,
,249-255,,Reserved,[Jon_Postel],[Jon_Postel],,,,,,
rap,256,tcp,RAP,[J_S_Greenfield],[J_S_Greenfield],,,,,,
set,257,tcp,Secure Electronic Transaction,[Donald_Eastlake],[Donald_Eastlake],,,,,,
,258,,Unassigned,,,,2006-09-13,,,,
esro-gen,259,tcp,Efficient Short Remote Operations,[Mohsen_Banan],[Mohsen_Banan],,,,,,
openport,260,tcp,Openport,[John_Marland],[John_Marland],,,,,,
nsiiops,261,tcp,IIOP Name Service over TLS/SSL,[Jeff_Stewart],[Jeff_Stewart],,,,,,
arcisdms,262,tcp,Arcisdms,[Russell_Crook],[Russell_Crook],,,,,,
hdap,263,tcp,HDAP,[Troy_Gau],[Troy_Gau],,,,,,
bgmp,264,tcp,BGMP,[Dave_Thaler],[Dave_Thaler],,,,,,
x-bone-ctl,265,tcp,X-Bone CTL,[Joe_Touch],[Joe_Touch],,,,,,
sst,266,tcp,SCSI on ST,[Donald_D_Woelz],[Donald_D_Woelz],,,,,,
td-service,267,tcp,Tobit David Service Layer,,,,,,,,
td-replica,268,tcp,Tobit David Replica,[Franz_Josef_Leuders],[Franz_Josef_Leuders],,,,,,
manet,269,tcp,MANET Protocols,,,,,[RFC5498],,,
,270,tcp,Reserved,,,,,,,,
pt-tls,271,tcp,IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS),[IESG],[IETF_Chair],2012-07-31,,[RFC6876],,,
,272-279,,Unassigned,,,,,,,,
http-mgmt,280,tcp,http-mgmt,[Adrian_Pell],[Adrian_Pell],,,,,,
personal-link,281,tcp,Personal Link,[Dan_Cummings],[Dan_Cummings],,,,,,
cableport-ax,282,tcp,Cable Port A/X,[Craig_Langfahl],[Craig_Langfahl],,,,,,
rescap,283,tcp,rescap,[Paul_Hoffman],[Paul_Hoffman],,,,,,
corerjd,284,tcp,corerjd,[Chris_Thornhill],[Chris_Thornhill],,,,,,
,285,,Unassigned,,,,,,,,
fxp,286,tcp,FXP Communication,[James_Darnall],[James_Darnall],,,,,,
k-block,287,tcp,K-BLOCK,[Simon_P_Jackson],[Simon_P_Jackson],,,,,,
,288-307,,Unassigned,,,,,,,,
novastorbakcup,308,tcp,Novastor Backup,[Brian_Dickman],[Brian_Dickman],,,,,,
entrusttime,309,tcp,EntrustTime,[Peter_Whittaker],[Peter_Whittaker],,,,,,
bhmds,310,tcp,bhmds,[John_Kelly],[John_Kelly],,,,,,
asip-webadmin,311,tcp,AppleShare IP WebAdmin,[Ann_Huang],[Ann_Huang],,,,,,
vslmp,312,tcp,VSLMP,[Gerben_Wierda],[Gerben_Wierda],,,,,,
magenta-logic,313,tcp,Magenta Logic,[Karl_Rousseau],[Karl_Rousseau],,,,,,
opalis-robot,314,tcp,Opalis Robot,[Laurent_Domenech],[Laurent_Domenech],,,,,,
dpsi,315,tcp,DPSI,[Tony_Scamurra],[Tony_Scamurra],,,,,,
decauth,316,tcp,decAuth,[Michael_Agishtein],[Michael_Agishtein],,,,,,
zannet,317,tcp,Zannet,[Zan_Oliphant],[Zan_Oliphant],,,,,,
pkix-timestamp,318,tcp,PKIX TimeStamp,[Robert_Zuccherato],[Robert_Zuccherato],,,,,,
ptp-event,319,tcp,PTP Event,[Kang_Lee],[Kang_Lee],2010-07-27,,,,,
ptp-general,320,tcp,PTP General,[Kang_Lee],[Kang_Lee],2010-07-27,,,,,
pip,321,tcp,PIP,[Gordon_Mohr],[Gordon_Mohr],,,,,,
rtsps,322,tcp,RTSPS,[Anders_Klemets],[Anders_Klemets],,,,,,
rpki-rtr,323,tcp,Resource PKI to Router Protocol,[IESG],[IETF_Chair],,,[RFC6810],,,
rpki-rtr-tls,324,tcp,Resource PKI to Router Protocol over TLS,[IESG],[IETF_Chair],,,[RFC6810],,,
,325-332,,Unassigned,,,,,,,,
texar,333,tcp,Texar Security Port,[Eugen_Bacic],[Eugen_Bacic],,,,,,
,334-343,,Unassigned,,,,,,,,
pdap,344,tcp,Prospero Data Access Protocol,[B_Clifford_Neuman],[B_Clifford_Neuman],,,,,,
pawserv,345,tcp,Perf Analysis Workbench,,,,,,,,
zserv,346,tcp,Zebra server,,,,,,,,
fatserv,347,tcp,Fatmen Server,,,,,,,,
csi-sgwp,348,tcp,Cabletron Management Protocol,,,,,,,,
mftp,349,tcp,mftp,[Dave_Feinleib],[Dave_Feinleib],,,,,,
matip-type-a,350,tcp,MATIP Type A,[Alain_Robert],[Alain_Robert],,,[RFC2351],,,
matip-type-b,351,tcp,MATIP Type B,[Alain_Robert],[Alain_Robert],,,[RFC2351],,,
dtag-ste-sb,352,tcp,DTAG,[Ruediger_Wald],[Ruediger_Wald],,,,,,(assigned long ago)
ndsauth,353,tcp,NDSAUTH,[Jayakumar_Ramalingam],[Jayakumar_Ramalingam],,,,,,
bh611,354,tcp,bh611,[John_Kelly],[John_Kelly],,,,,,
datex-asn,355,tcp,DATEX-ASN,[Kenneth_Vaughn],[Kenneth_Vaughn],,,,,,
cloanto-net-1,356,tcp,Cloanto Net 1,[Michael_Battilana],[Michael_Battilana],2010-04-30,,,,,
bhevent,357,tcp,bhevent,[John_Kelly],[John_Kelly],,,,,,
shrinkwrap,358,tcp,Shrinkwrap,[Bill_Simpson],[Bill_Simpson],,,,,,
,359,tcp,Reserved,,,,2023-11-16,,,,De-Assigned on 2023-11-16.
scoi2odialog,360,tcp,scoi2odialog,[Keith_Petley],[Keith_Petley],,,,,,
semantix,361,tcp,Semantix,[Semantix],[Semantix],,,,,,
srssend,362,tcp,SRS Send,[Curt_Mayer],[Curt_Mayer],,,,,,
rsvp-tunnel,363,tcp,"RSVP Tunnel IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel"".",[Andreas_Terzis],[Andreas_Terzis],,,,,,
aurora-cmgr,364,tcp,Aurora CMGR,[Philip_Budne],[Philip_Budne],,,,,,
dtk,365,tcp,DTK,[Fred_Cohen],[Fred_Cohen],,,,,,
odmr,366,tcp,ODMR,[Randall_Gellens],[Randall_Gellens],,,,,,
mortgageware,367,tcp,MortgageWare,[Ole_Hellevik],[Ole_Hellevik],,,,,,
qbikgdp,368,tcp,QbikGDP,[Adrien_de_Croy],[Adrien_de_Croy],,,,,,
rpc2portmap,369,tcp,rpc2portmap,,,,,,,,
codaauth2,370,tcp,codaauth2,[Robert_Watson],[Robert_Watson],,,,,,
clearcase,371,tcp,Clearcase,[Dave_LeBlang],[Dave_LeBlang],,,,,,
ulistproc,372,tcp,ListProcessor,[Anastasios_Kotsikona],[Anastasios_Kotsikona],,,,,,
legent-1,373,tcp,Legent Corporation,,,,,,,,
legent-2,374,tcp,Legent Corporation,[Keith_Boyce],[Keith_Boyce],,,,,,
hassle,375,tcp,Hassle,[Reinhard_Doelz],[Reinhard_Doelz],,,,,,
nip,376,tcp,Amiga Envoy Network Inquiry Protocol,[Heinz_Wrobel],[Heinz_Wrobel],,2020-10-02,,,,
tnETOS,377,tcp,NEC Corporation,,,,,,,,
dsETOS,378,tcp,NEC Corporation,[Tomoo_Fujita],[Tomoo_Fujita],,,,,,
